      ¹¦ÂÊ                      RSS

  -1.8837654e-02  -4.8756880e+01
   9.9659945e-01  -4.7781752e+01
   1.9899618e+00  -4.7294187e+01
   2.9612495e+00  -4.7172296e+01
   4.0097987e+00  -4.5922913e+01
   5.0031610e+00  -4.4886839e+01
   5.9965234e+00  -4.5008730e+01
   7.0009230e+00  -4.4886839e+01
   7.9832481e+00  -4.4825893e+01
   9.0097225e+00  -4.2052872e+01
   9.9810102e+00  -4.1291053e+01
   1.0963335e+01  -4.1138689e+01
   1.1989810e+01  -4.0011196e+01
   1.2983172e+01  -3.8457085e+01
   1.4009646e+01  -3.6445883e+01
   1.4980934e+01  -3.6323992e+01
   1.6011357e+01  -3.4221371e+01
